Fecha;Tweet;
2023-09-12T16:56:45.000Z;¿Cómo fue el tratamiento informativo del candidato más votado en las PASO? Así evolucionaba la visibilidad de Milei en los medios. Esta es su presencia entre los primeros diez titulares de Clarín, LN, Página 12, Infobae, MDZ y Los Andes entre 2022-hoy  Fuente: @ObsMediosUNCuyo;
2023-09-12T12:45:44.000Z;Yo recuerdo cuando doxearon a una periodista de página 12 PRE PANDEMIA cuando relaciono al votante de milei con el movimiento incel.;
2023-09-12T11:30:01.000Z;"Patricia es mi candidata"", dijo Macri y calificó como ""maliciosas"" a las versiones sobre su respaldo al postulante de La Libertad Avanza, aunque no respondió a la propuesta de Milei de sumarlo a su virtual gobierno | Por @wernerpertot";
2023-09-12T01:06:34.000Z;Malvinas: Crece el repudio por las expresiones de la hipotética canciller de Javier Milei;
2023-09-12T00:53:02.000Z;"La Iglesia le respondió con dureza a Milei por sus ataques al Papa Francisco | ""Se le debe un respeto particular"" | Página|12 https://pagina12.com.ar/587029-la-iglesia-le-respondio-con-dureza-a-milei-por-sus-ataques-a…  Miley: Aprenda a respetar a los mayores. Una vergüenza su maltrato al Papa Francisco...";
2023-09-12T00:11:57.000Z;En que momento estuvo cerca de Milei? la nación política te convertiste en una cloaca como c5n y página 12,;
2023-09-11T18:50:05.000Z;La Iglesia le respondió con dureza a Milei por sus ataques al Papa Francisco;
2023-09-11T13:43:06.000Z;"Kicillof cuestionó las propuestas de Milei y Bullrich: ""Son un fiasco de imposible cumplimiento""";
2023-09-11T13:22:57.000Z;El pasquín histórico de la burguesía británica, dice que Milei es un mamarracho impresentable.  No lo dice Página 12, ehhh..???;
2023-09-11T13:17:13.000Z;"  PÁGINA 12   ENTREVISTA A LA PRESIDENTA DE ABUELAS DE PLAZA DE MAYO  Estela Carlotto, ante el peligro de Javier Milei y los agravios de Victoria Villarruel: ""Tenemos que cuidar la democracia"".";
2023-09-11T11:35:39.000Z;https://pagina12.com.ar/586607-que-pasaria-en-el-pais…...  Comparto este artículo de Página 12 que explora la relación entre China y Argentina, junto con las implicaciones de un posible cambio si Milei, el candidato libertario, asume la presidencia. Mi perspectiva es que la interacción con China es… Show more;
2023-09-11T11:16:49.000Z;Che...querés que los medios hagan algo más?  Desde C5n a Ln+ - pasando por Página 12 y Radios a elección, lo 'atienden' a Milei en cadena .;
2023-09-11T10:30:19.000Z;El plan no tan secreto de Javier Milei para intentar eliminar el aborto legal | Una asesora detalló cómo harán para desfinanciar la IVE si llegan a la Rosada | Página|12;
2023-09-11T06:08:21.000Z;El club de “Les miserables”      El plan no tan secreto de Javier Milei para intentar eliminar el aborto legal | Una asesora detalló cómo harán para desfinanciar la IVE si llegan a la Rosada | Página|12;
2023-09-11T04:43:13.000Z;Batakis habla y le suma 1000 votos a Milei, gracias por la campaña Pagina 12!;
2023-09-11T04:24:23.000Z;Hoy La Nación, Clarín y Página/12 explican qué es el anarcocapitalismo de Milei. Moreno lo dijo, lo explicó, lo difundió hace meses, sino años. Que el pueblo argentino lo entienda de una buena vez: hay que escuchar (atenta y regularmente) a Guillermo Moreno.;
2023-09-11T03:57:45.000Z;"Página|12 @pagina12  Estela Carlotto, ante el peligro de Javier Milei y los agravios de Victoria Villarruel: ""Tenemos que cuidar la democracia""";
2023-09-11T03:55:04.000Z;El plan no tan secreto de Javier Milei para intentar eliminar el #abortolegal | Una asesora detalló cómo harán para desfinanciar la IVE si llegan a la Rosada | Página|12;
2023-09-11T01:30:33.000Z;"Estela Carlotto, ante el peligro de Javier Milei y los agravios de Victoria Villarruel: ""Tenemos que cuidar la democracia""";
2023-09-11T00:03:52.000Z;Página 12 si gana Milei va a desaparecer y me parece excelente. Es pura pauta estatal;
2023-09-10T23:35:24.000Z;"Eso es traición a la patria. O muy parecido  “Islas Malvinas: Javier Milei y sus asesores imitan a Inglaterra | Diana Mondino insistió en que se debe respetar ""el derecho de autodeterminación de los isleños"" | Página|12";
2023-09-10T22:46:34.000Z;El plan no tan secreto de Javier Milei para intentar eliminar el aborto legal;
2023-09-10T22:33:22.000Z;Por suerte ya les queda poco, chau pautas chau Página 12 chau zurdos, Milei Presidente;
2023-09-10T22:28:58.000Z;Te hago una pregunta, ¿Le crees algo a C5N y Página 12?;
2023-09-10T22:26:36.000Z;Islas Malvinas: Javier Milei y sus asesores imitan a Inglaterra - Página/12;
2023-09-10T20:25:33.000Z;Islas Malvinas: Para Javier Milei y sus asesores, la última palabra la tienen que tener los británicos;
2023-09-10T14:18:01.000Z;Nos preguntábamos con @aracalacana cómo evolucionaba la visibilidad de Milei en los medios. Esta es su presencia entre los primeros diez titulares de Clarín, La Nación, Página 12, Infobae, MDZ y Los Andes (9 AM) entre 2022 y hoy.  Constancia, caída pre PASO y explosión;
2023-09-10T12:35:30.000Z;"  PÁGINA 12   CUÁLES SON LOS TRES PROBLEMAS PRINCIPALES DE LA ECONOMÍA Qué proponen Massa, Milei y Melconian.";
2023-09-10T11:16:37.000Z;A Milei lo crítico The Economist.... ni Página 12 se arrevió a tanto;
2023-09-10T05:02:40.000Z;¿Qué pasaría en el país si Milei rompe relaciones con China? | El impacto en la infraestructura estratégica de la Argentina | Página|12;
2023-09-10T03:40:37.000Z;¿Qué pasaría en el país si Milei rompe relaciones con China?;
2023-09-10T03:09:35.000Z;Qué proponen Massa, Milei y Melconian;
;;
2023-09-10T03:04:58.000Z;Gente, Amigos, Amigas, votantes de PATRICIA BULLRICH, CUIDADO NO NOS ENREDEMOS EN LOS COMENTARIOS PREMEDITADOS DE PAGINA 12 Y AMBITO. SON BIEN REMUNERADOS X LOS KK Y ALIENTAN A MILEI PARA QUERER SACAR DE LA PELEA A PATRICIA. TODO ES FALSO, ES CAMPAÑA. MASSA ESTA' EN LA LONA.;
2023-09-10T01:26:07.000Z;Nueva encuesta del CEOP Argentina: Milei y Massa, al balotaje. Bullrich, relegada  | Cómo son los votantes de cada candidato | Página|12;
2023-09-10T00:31:04.000Z;Milei y Bullrich quieren abrir todo de vuelta;
2023-09-09T22:25:34.000Z;El modelo de Milei ya fracasó hace cien años y la solución fue la Justicia Social;
2023-09-09T15:58:11.000Z;La Iglesia de Salta también cuestionó a Milei por sus dichos sobre el Papa  https://pagina12.com.ar/586434-la-iglesia-de-salta-tambien-cuestiono-a-milei-por-sus-dichos…;
2023-09-09T14:13:35.000Z;Elon Musk borró un tuit donde elogiaba a Javier Milei y ¿lo censuró?;
2023-09-09T13:39:31.000Z;¿Si ganará Milei  ... la izquierda, página 12 y el CELS condenarán un levantamiento cara pintada o lo apoyarán? No toda la tropa comulga con Villaruel.  Los radicales, socialistas y comunistas apoyaron el golpe del 55 al Gral. Perón…;
2023-09-09T12:48:30.000Z;Nueva encuesta del CEOP: Milei y Massa, al balotaje. Bullrich, relegada  | Cómo son los votantes de cada candidato | Página|12;
2023-09-09T09:46:47.000Z;"La curiosa dolarización sin dólares de Milei, por Raúl Dellatorre (para ""Página 12"" del 07-09-23)  http://adriancorbella.blogspot.com/2023/09/la-curiosa-dolarizacion-sin-dolares-de.html…";
2023-09-09T05:56:40.000Z;La Iglesia de Salta también cuestionó a Milei por sus dichos sobre el Papa;
2023-09-09T04:28:05.000Z;"El Sindicato de Conductores de Moto creen que Milei ""busca sacar más derechos""";
2023-09-09T02:56:33.000Z;Milei viajó a Estados Unidos;
2023-09-09T02:15:33.000Z;Nueva encuesta del CEOP: Milei y Massa, al balotaje. Bullrich, relegada  | Cómo son los votantes de cada candidato | Página|12;
2023-09-08T23:40:08.000Z;Milei y Massa, al ballotage. Bulrich, relegada;
2023-09-08T22:59:25.000Z;Es como si lo dijera pagina 12 o Clarin o la nación , jajaa . A quien le importa ? MILEI gana en primera vuelta con diarios y medios tradicionales en contra . No los necesita para ganar .;
2023-09-08T22:15:58.000Z;"Para Ricardo Alfonsín, Macri ""va a operar"" para unirse con Milei  | Instó a la UCR a romper con el PRO | Página|12";
2023-09-08T21:28:18.000Z;The Economist, Patricia Bullrich, CNN, La Cámpora, Página 12, Massa, Prensa Obrera, todos juntos en contra de @JMilei y eso es musica para mis oídos porque los veré caer y llorar el 22 de octubre;
2023-09-08T21:11:08.000Z;Quiénes votarían a Massa y quiénes a Milei en un posible balotaje, según encuesta;
2023-09-08T19:32:11.000Z;"  PÁGINA 12   NUEVA ENCUESTA Sergio Massa se enfrentaría en un BALOTAJE con Javier Milei. ( la ""analfa"" desinflada).";
2023-09-08T17:22:00.000Z;Es la encuesta q hizo artemio lopez en pagina 12....en 2021 dijo q en las paso gana kichi x 10 puntos y en las de este año predijo q milei sacaba eo 16 ....q vaya a laburar el viejo mercenario ese...dps nos ilusiona al pedo;
2023-09-08T16:48:32.000Z;- Tremenda nota sobre Javier Milei salió en Página 12... - Ah, no! para, para...;
2023-09-08T14:19:43.000Z;URGENTE!!! Página 12 y C5N dicen que voten a Milei, que NO TIENE NADA QUE VER CON MASSA!!!;
2023-09-08T13:23:59.000Z;"Nueva encuesta: Sergio Massa se enfrentaría en un balotaje con Javier Milei, por ""Página 12"" del 07-09-23  http://adriancorbella.blogspot.com/2023/09/nueva-encuesta-sergio-massa-se.html…";
2023-09-08T11:56:03.000Z;Página 12 levantó una encuesta donde el 40% del voto a Milei es jóven, y ese voto hasta hace poco era nuestro. Esa era la franja a la que ustedes apuntaban con las agendas de minorías y se les dió vuelta. Quizás la realidad dice que  la agenda de mayorías era más importante.;
2023-09-08T11:29:47.000Z;" Mira  . Cómo lo define el diario inglés y liberal . """"Intemperante, imprudente y extravagante"": el duro editorial de The Economist contra Javier Milei | La revista inglesa criticó la idea neoliberal de dolarizar | Página|12""";
2023-09-08T11:24:59.000Z;Nueva encuesta: Sergio Massa se enfrentaría en un balotaje con Javier Milei | Patricia Bullrich, desinflada | Página|12;
2023-09-08T09:43:00.000Z;Hoy, algo extraño. Hay dos coincidencias en las tapas de Clarín y Página 12. Una obvia, la actuación de Messi (además con la misma foto). La otra, muy interesante, es que ambos diarios publicaron la alarma que expresa el diario The Economist si gana Milei (¡!).;
2023-09-08T04:03:03.000Z;@VickyVillarruel  Te dejo el caso servido vs página 12 para que los destruyas por banalizar el h0locausto;
